Backbone
eva02_small_patch14_224.mim_in22k
pnasnet5large.tf_in1k
convnext_small.in12k
cait_s24_224.fb_dist_in1k
resnext50_32x4d.a1h_in1k
crossvit_9_240.in1k
convnext_tiny.in12k_ft_in1k
vit_small_patch8_224.dino
eva02_large_patch14_clip_336.merged2b_s6b_b61k
convnext_tiny.in12k
convnext_small.in12k_ft_in1k
deit3_base_patch16_224.fb_in22k_ft_in1k
vit_base_patch16_siglip_256
resnet50d.ra2_in1k
deit3_base_patch16_224.fb_in1k
pvt_v2_b2_li.in1k
tf_mobilenetv3_large_075.in1k
tf_efficientnet_b0.ns_jft_in1k
inception_next_tiny.sail_in1k
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k
caformer_s18.sail_in1k
cait_m48_448.fb_dist_in1k
fastvit_sa12.apple_in1k
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k
mobilenetv3_small_050.lamb_in1k
vgg19.tv_in1k
maxvit_base_tf_224.in21k
beitv2_large_patch16_224.in1k_ft_in22k
vit_base_patch16_224.augreg_in21k_ft_in1k
swin_large_patch4_window7_224.ms_in22k
eva_giant_patch14_336.m30m_ft_in22k_in1k
convit_tiny.fb_in1k
convnextv2_femto.fcmae_ft_in1k
eva_large_patch14_196.in22k_ft_in22k_in1k
tf_efficientnet_b1.ns_jft_in1k
beit_large_patch16_224.in22k_ft_in22k_in1k
volo_d1_224.sail_in1k
tf_mixnet_l.in1k
tf_efficientnet_lite4.in1k
vit_large_patch14_clip_336.openai_ft_in12k_in1k
convnext_base.fb_in1k
tf_efficientnetv2_s.in1k
vit_large_patch16_224.mae
efficientnet_b4.ra2_in1k
resnet50d.a1_in1k
eca_botnext26ts_256.c1_in1k
convnextv2_tiny.fcmae_ft_in22k_in1k_384
tf_mobilenetv3_small_100.in1k
maxvit_rmlp_pico_rw_256.sw_in1k
eva02_base_patch14_224.mim_in22k
resnext101_32x16d.fb_swsl_ig1b_ft_in1k
vit_medium_patch16_rope_reg1_gap_256.sbb_in1k
tf_efficientnet_b5.ns_jft_in1k
levit_128s.fb_dist_in1k
convnextv2_large.fcmae_ft_in22k_in1k_384
fastvit_s12.apple_in1k
maxvit_tiny_tf_224.in1k
efficientnet_b2.ra_in1k
resnetv2_50.a1h_in1k
vit_base_patch16_224.mae
twins_pcpvt_base.in1k
vit_medium_patch16_reg4_gap_256.sbb_in1k
densenet121.tv_in1k
maxvit_large_tf_512.in1k
seresnextaa101d_32x8d.sw_in12k_ft_in1k
gcresnext26ts.ch_in1k
deit_base_distilled_patch16_384.fb_in1k
seresnext26d_32x4d.bt_in1k
resnest26d.gluon_in1k
mnasnet_100.rmsp_in1k
tf_mobilenetv3_large_100.in1k
eca_halonext26ts.c1_in1k
eva02_large_patch14_clip_224.merged2b_s4b_b131k
vit_small_patch32_224.augreg_in21k_ft_in1k
vit_base_patch16_224.augreg2_in21k_ft_in1k
vit_betwixt_patch16_reg4_gap_256.sbb_in12k_ft_in1k
vit_small_patch16_224.augreg_in21k
lcnet_050.ra2_in1k
regnety_032.ra_in1k
caformer_s36.sail_in22k_ft_in1k
vit_pwee_patch16_reg1_gap_256.sbb_in1k
beitv2_base_patch16_224.in1k_ft_in22k
nfnet_l0.ra2_in1k
davit_tiny.msft_in1k
vit_large_patch16_siglip_384
mobilevit_s.cvnets_in1k
beitv2_base_patch16_224.in1k_ft_in22k_in1k
nasnetalarge.tf_in1k
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384
deit3_medium_patch16_224.fb_in1k
cspdarknet53.ra_in1k
resnet50_gn.a1h_in1k
swin_base_patch4_window12_384.ms_in22k
densenet201.tv_in1k
vit_base_patch16_siglip_224
fastvit_sa12.apple_dist_in1k
tf_efficientnet_b4.ns_jft_in1k
convnext_base.fb_in22k_ft_in1k_384
vit_giant_patch14_dinov2.lvd142m
mobilenetv3_large_100.ra_in1k
res2net50_26w_4s.in1k
gmlp_s16_224.ra3_in1k
convit_base.fb_in1k
maxvit_rmlp_small_rw_224.sw_in1k
sequencer2d_l.in1k
deit_tiny_distilled_patch16_224.fb_in1k
eva02_large_patch14_448.mim_m38m_ft_in1k
mobilenetv2_050.lamb_in1k
res2next50.in1k
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k
levit_conv_192.fb_dist_in1k
efficientformer_l1.snap_dist_in1k
vit_small_patch16_224.augreg_in1k
vit_mediumd_patch16_reg4_gap_256.sbb_in12k
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k
mixnet_s.ft_in1k
eva02_base_patch14_448.mim_in22k_ft_in1k
twins_pcpvt_small.in1k
swin_s3_small_224.ms_in1k
convnextv2_tiny.fcmae_ft_in22k_in1k
vit_tiny_r_s16_p8_224.augreg_in21k_ft_in1k
