name,knn-1 accuracy stdev,knn-1 accuracy mean,knn-1 accuracy min,knn-1 accuracy max,knn-1 accuracy,knn-1 precision stdev,knn-1 precision mean,knn-1 precision min,knn-1 precision max,knn-1 precision,knn-1 f1 stdev,knn-1 f1 mean,knn-1 f1 min,knn-1 f1 max,knn-1 f1,knn-5 accuracy stdev,knn-5 accuracy mean,knn-5 accuracy min,knn-5 accuracy max,knn-5 accuracy,knn-5 precision stdev,knn-5 precision mean,knn-5 precision min,knn-5 precision max,knn-5 precision,knn-5 f1 stdev,knn-5 f1 mean,knn-5 f1 min,knn-5 f1 max,knn-5 f1,knn-5 accuracy_top5 stdev,knn-5 accuracy_top5 mean,knn-5 accuracy_top5 min,knn-5 accuracy_top5 max,knn-5 accuracy_top5,knn-1_crossvideo accuracy stdev,knn-1_crossvideo accuracy mean,knn-1_crossvideo accuracy min,knn-1_crossvideo accuracy max,knn-1_crossvideo accuracy,knn-1_crossvideo precision stdev,knn-1_crossvideo precision mean,knn-1_crossvideo precision min,knn-1_crossvideo precision max,knn-1_crossvideo precision,knn-1_crossvideo f1 stdev,knn-1_crossvideo f1 mean,knn-1_crossvideo f1 min,knn-1_crossvideo f1 max,knn-1_crossvideo f1,knn-5_crossvideo accuracy stdev,knn-5_crossvideo accuracy mean,knn-5_crossvideo accuracy min,knn-5_crossvideo accuracy max,knn-5_crossvideo accuracy,knn-5_crossvideo precision stdev,knn-5_crossvideo precision mean,knn-5_crossvideo precision min,knn-5_crossvideo precision max,knn-5_crossvideo precision,knn-5_crossvideo f1 stdev,knn-5_crossvideo f1 mean,knn-5_crossvideo f1 min,knn-5_crossvideo f1 max,knn-5_crossvideo f1,knn-5_crossvideo accuracy_top5 stdev,knn-5_crossvideo accuracy_top5 mean,knn-5_crossvideo accuracy_top5 min,knn-5_crossvideo accuracy_top5 max,knn-5_crossvideo accuracy_top5
Embedding-EfficientNet-Small-CXL-OpenSet-QAT&KD,0.056785964478753545,0.78303574324,0.6830357909,0.821428597,0.7830357432,0.06479254770025245,0.7608417034,0.647828877,0.8081063032,0.7608417034,0.05992026399046788,0.76517190934,0.6601591706,0.8081840277,0.7651719093,0.05276548785261244,0.7267857313,0.6517857909,0.7991071343,0.7267857313,0.05351226637935291,0.69038602114,0.6302757263,0.7766855955,0.6903860211,0.06132308506861311,0.6942491173600001,0.6077722311,0.7796663642,0.6942491174,0.04602762790333962,0.90446429254,0.8258928657,0.9375,0.9044642925,0.15933687236149327,0.41914304792,0.1612903327,0.5519480705,0.4191430479,0.17160427690678784,0.49783535302,0.2150537521,0.6591948867,0.497835353,0.16028533095860958,0.44019367396000003,0.1836917549,0.5829295516,0.440193674,0.17162107456822942,0.3947651297,0.1075268835,0.5389610529,0.3947651297,0.18706578915407063,0.44535244106,0.1334816515,0.6326947212,0.4453524411,0.1732756859407247,0.40024664252,0.1191067025,0.5654559135,0.4002466425,0.16454753680537004,0.73909286858,0.4623655975,0.8701298833,0.7390928686
Embedding-EfficientNet-Small-CXL-OpenSet,0.03735090650197907,0.8348214507,0.803571403,0.8928571939,0.8203125149,0.036764455685321905,0.81681153774,0.7800628543,0.8609949946,0.8057656735,0.037571629611263375,0.81726059916,0.7831653953,0.8725319505,0.8034427613,0.03131375428324305,0.7401785373599999,0.7053570747,0.78125,0.7299106717,0.042614041694996656,0.69161002634,0.6289232969,0.7478732467,0.6775442213,0.03200761281002369,0.6995070815,0.656656146,0.7422056794,0.688832432,0.012061840514129648,0.9125,0.9017857313,0.9330357313,0.9073660672,0.09985598804754425,0.36366613504,0.204301089,0.4675324559,0.351951085,0.1573565932312058,0.44380719065999996,0.1866157353,0.5747163296,0.4416194558,0.11719895134330806,0.38908616602,0.192909047,0.5084168911,0.3795130216,0.08796903579518767,0.34468328654,0.1935483962,0.4166666865,0.3440119959,0.14671682683968168,0.42618390023999997,0.2140762359,0.5923295617,0.4384140857,0.10711848071493997,0.36122649014,0.1829493195,0.4576712847,0.3632655628,0.10514476801997552,0.7008829236,0.5376344323,0.83157897,0.668208912
Embedding-EfficientNet-Small-CXL-OpenSet-QAT,0.05066524608144679,0.7928571224,0.7053570747,0.834821403,0.7928571224,0.058566446547041975,0.7616056323,0.6604552865,0.8091448545,0.7616056323,0.054944707341452396,0.76932489872,0.6759124398,0.8095568419,0.7693248987,0.060110574535466484,0.7169642806,0.6205357313,0.7857143283,0.7169642806,0.07332641392745434,0.65650874376,0.5403019786,0.7404641509,0.6565087438,0.0688717026707347,0.67454880474,0.5651479363,0.7555391788,0.6745488048,0.024123667245097437,0.89375000002,0.8571428657,0.9196428657,0.89375,0.08581081017490289,0.2568339795,0.1612903327,0.3701298535,0.2568339795,0.18286047992363583,0.39423522354,0.161184907,0.6196343899,0.3942352235,0.11187047704529797,0.29963888524,0.1579109132,0.4243828654,0.2996388853,0.07160498029983668,0.24822614194,0.1720430106,0.348484844,0.2482261419,0.1830312783821328,0.35876110196,0.1628938019,0.6197186112,0.358761102,0.09609937821410008,0.27349578142000003,0.1620182246,0.4075141847,0.2734957814,0.10717528087270259,0.62228190304,0.4623655975,0.7473683953,0.622281903
Embedding-EfficientNet-Large-CXL-OpenSet-QAT&KD,0.39123039937601795,0.71428571344,0.2857142687,1.0,0.7142857134,0.3911433641561993,0.71435475946,0.28245911,1.0,0.7143547595,0.39212041187730734,0.71363700628,0.2824435234,1.0,0.7136370063,0.05453013146657434,0.25982144474,0.2053571492,0.3392857611,0.2598214447,0.1290495310308156,0.14406902714,0.0421715602,0.2944193482,0.1440690272,0.1168678976105219,0.16629036516,0.0699735433,0.3116489649,0.1662903652,0.20921264462899827,0.84732142688,0.6071428657,1.0,0.8473214269,0.4972129368180238,0.63690127134,0.0860215053,1.0,0.6369012713,0.4405157257253556,0.678823483,0.1612903178,1.0,0.678823483,0.4805129278728088,0.64913437366,0.1112054288,1.0,0.6491343737,0.45898620183696726,0.57470163554,0.0322580636,0.9197530746,0.5747016355,0.4102920137152129,0.57456490994,0.0611205399,0.8977978826,0.5745649099,0.43627010838472735,0.56631345376,0.0422287397,0.8924760818,0.5663134538,0.3620328007091342,0.7377321601,0.2795698941,1.0,0.7377321601
Embedding-EfficientNet-Large-CXL-OpenSet,0.14606470220018378,0.77232141496,0.5133928657,0.8571428061,0.7723214149,0.15252340353342503,0.7557713270199999,0.4846813679,0.8428928256,0.755771327,0.14982863660744403,0.75158238412,0.4854677916,0.8343409896,0.7515823841,0.13914684235421862,0.69642858504,0.4598214626,0.7991071343,0.6964285851,0.14101302459111964,0.6545399964,0.4237776101,0.7748959661,0.6545399964,0.14131490881438882,0.65845806598,0.4190227985,0.7558781505,0.658458066,0.0932918360708067,0.87589285374,0.709821403,0.9330357313,0.8758928537,0.22334758970676283,0.3169821581,0.0107526882,0.5833333731,0.3169821581,0.2780670466675404,0.4258977644,0.0184331797,0.742057085,0.4258977644,0.24254241059781997,0.35556245912,0.0135823423,0.6423627138,0.3555624591,0.191507235264102,0.3025758505,0.0322580636,0.5227272511,0.3025758505,0.2177595191630448,0.37640530094,0.0430107526,0.6137881279,0.3764053009,0.19742615160481075,0.32362375408,0.0368663594,0.5477271676,0.3236237541,0.267517927914826,0.63342078628,0.2365591377,0.8712121248,0.6334207863
Embedding-EfficientNet-Large-CXL-OpenSet,0.04739295103603346,0.73303570746,0.65625,0.7857142091,0.7330357075,0.053713808404771045,0.7118183613,0.6320291162,0.7833432555,0.7118183613,0.04815931155433878,0.71407176256,0.6396593451,0.7739045024,0.7140717626,0.04589754296500174,0.6660713911,0.584821403,0.6964285374,0.6660713911,0.057826654125346676,0.62607332468,0.5233054757,0.6615856886,0.6260733247,0.052369848792626406,0.6320889473,0.5396978855,0.6673645973,0.6320889473,0.02036028666640414,0.88660713434,0.8616071343,0.915178597,0.8866071343,0.07039715169812637,0.21873789432000001,0.0967741907,0.2792207897,0.2187378943,0.1337277640124179,0.33615895362,0.1201819703,0.4685588777,0.3361589536,0.08514715612717257,0.2508231789,0.1018509716,0.3090631664,0.2508231789,0.04815172337167702,0.1876989737,0.107526876,0.2345678806,0.1876989737,0.08650705681437872,0.30126687586,0.1554838866,0.3855186701,0.3012668759,0.0540263836104912,0.22160583436,0.1271285117,0.263389945,0.2216058344,0.10330697401123977,0.58887084126,0.4193548262,0.6842105389,0.5888708413
Embedding-EfficientNet-Large-CXL-OpenSet-QAT&KD,0.40482976746877614,0.70446430444,0.2455357015,1.0000001192,0.7044643044,0.4146623409639456,0.69761622846,0.2123414725,1.0000001192,0.6976162285,0.4101769210153719,0.70070762932,0.2276772708,1.0000001192,0.7007076293,0.06523053262892797,0.26785714028,0.2053571492,0.3660714328,0.2678571403,0.10591335031068835,0.13611114322,0.0421715602,0.2681105733,0.1361111432,0.10195670079525616,0.16548032764,0.0699735433,0.3088037372,0.1654803276,0.24069912190494167,0.82589285372,0.5178571343,1.0,0.8258928537,0.49144184269290736,0.6413419664,0.077922076,1.0,0.6413419664,0.43749638994716444,0.68326997162,0.1268478036,1.0,0.6832699716,0.4750661308331661,0.65361199676,0.0961707383,1.0,0.6536119968,0.4514523866757332,0.5807133436,0.038961038,0.9197530746,0.5807133436,0.4051832478243223,0.59628658444,0.0782044008,0.9462364912,0.5962865844,0.4316725434599834,0.58061906694,0.0515966713,0.9227052927,0.580619067,0.355782529983579,0.74025974274,0.3376623392,1.0,0.7402597427
Embedding-EfficientNet-Large-CXL-OpenSet-QAT,0.1737232579172155,0.34553571344,0.2187499851,0.6383928657,0.3455357134,0.16052861808023744,0.33670820594,0.212335214,0.5958629847,0.3367082059,0.16543976843914907,0.339666,0.2148233354,0.6130595207,0.339666,0.1659789984664703,0.34999999704,0.1919642836,0.6071428657,0.349999997,0.14480464371790022,0.31917598246,0.1943901777,0.540755868,0.3191759825,0.15484791748460033,0.32750048934,0.1800867915,0.5626991391,0.3275004894,0.10409543168566836,0.65714286566,0.5446428657,0.8080357313,0.6571428657,0.07146612193899239,0.1317595899,0.0752688199,0.2532467544,0.1317595899,0.07099021698721103,0.22098175286,0.1290322542,0.3104638457,0.2209817529,0.06706564122306821,0.15809834154,0.0950763971,0.2696668804,0.1580983415,0.061573628269763495,0.12948626578,0.0526315793,0.19480519,0.1294862658,0.04339066299549719,0.2107415855,0.1629881263,0.2766233981,0.2107415855,0.05952835384736724,0.15108723342,0.0768562406,0.2216459364,0.1510872334,0.10995139256178085,0.46379041074,0.3225806355,0.6298701167,0.4637904108
Embedding-SwinV2-Large-CXL-Open-QAT,0.021175967397477947,0.93303573132,0.8973214626,0.9508929253,0.9330357313,0.018477332300404138,0.92721624374,0.8975254297,0.941336453,0.9272162437,0.023489626348157575,0.92323354484,0.8840363026,0.9431318641,0.9232335448,0.017968374081664698,0.8696428537199999,0.8482143283,0.897321403,0.8696428537,0.023289832602332597,0.8410808444,0.8208073974,0.8770045638,0.8410808444,0.02174424240070631,0.84351289274,0.8223759532,0.8796153665,0.8435128927,0.010751412417016246,0.97589285374,0.9642857313,0.991071403,0.9758928537,0.07033269831427248,0.52788077592,0.4301074743,0.6234567761,0.5278807759,0.16271250463044662,0.6306042552,0.4802220464,0.8921770453,0.6306042552,0.08329159636134482,0.53658645152,0.4035759568,0.6314382553,0.5365864515,0.0808921217788225,0.49473422766,0.4193547964,0.629629612,0.4947342277,0.12308754396943364,0.57856566906,0.4809490442,0.7875124812,0.5785656691,0.07009768158901326,0.49235723018,0.3924785256,0.5675863028,0.4923572302,0.038623276178329564,0.83661372662,0.8064516187,0.9015151262,0.8366137266
Embedding-SwinV2-Large-CXL-Open,0.022763442813000277,0.92857143878,0.9017857909,0.959821403,0.9319196492,0.03436289793989485,0.91937872172,0.8829221725,0.9671981335,0.928492859,0.02742092628036466,0.91927336454,0.8941378593,0.9591239095,0.9255572408,0.03265339592697202,0.8616071701,0.8392857909,0.9151785374,0.8660714626,0.03709646161722666,0.83979156016,0.8072750568,0.9013955593,0.8427605778,0.040236427270665655,0.83807040452,0.808417201,0.9039142728,0.8435693383,0.008587218600410144,0.97857142688,0.96875,0.991071403,0.9810267836,0.1333602844076419,0.5407977819199999,0.3763440251,0.7424242496,0.5549445897,0.17004403276386318,0.64425399302,0.5114482641,0.9248484969,0.6774554253,0.14941838285964473,0.56582655906,0.4162986279,0.811502099,0.5852681398,0.15674749472224966,0.47997891904,0.2795698643,0.7045453787,0.4841841683,0.22010957341539916,0.5598302126,0.3123655915,0.916569531,0.573521629,0.16965096483807804,0.49168615938,0.2930072546,0.7573272586,0.4996688291,0.05465518504606777,0.843897295,0.8086419702,0.9393939376,0.849608466
